Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Monroe FR1,453.275000,split,458.275000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Dispatch simulcast w/800 (Key West),,,,
1,Monroe FR2,453.400000,split,458.400000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Dispatch simulcast w/800 (Ramrod Key),,,,
2,Monroe FR3,453.750000,split,458.750000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Dispatch simulcast w/800 (Marathon),,,,
3,Monroe FR5,453.825000,split,458.825000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Dispatch simulcast w/800 (Plantation Key),,,,
4,Monroe FR6,453.875000,split,458.875000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Dispatch simulcast w/800 (Key Largo),,,,
5,Monroe FR12,453.150000,split,458.150000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management/Fire Tactical  (Marathon),,,,
6,Monroe FR9,453.025000,split,458.025000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management/Fire Tactical  (Plantation Key),,,,
7,Monroe FR14,453.125000,split,458.125000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management/Fire Tactical  (Key Largo),,,,
8,Monroe FR8,453.200000,split,458.200000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management/Fire Tactical  (Grassy Key),,,,
9,Monroe FR11,453.225000,split,458.225000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management/Fire Tactical  (Sugarloaf Shores),,,,
10,Monroe FR10,453.350000,split,458.350000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management/Fire Tactical  (Key West),,,,
11,Stock Island,460.050000,split,465.050000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Stock Island Detention Center,,,,
12,Monroe FR4,453.775000,split,458.775000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Dispatch simulcast w/800 (Long Key),,,,
13,Monroe FR7,458.400000,,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Tactical,,,,
14,Monroe MED,463.150000,split,468.150000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,County Medical Coordination,,,,
15,Fishermans,463.137500,split,468.137500,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS-to-Fisherman's Hospital,,,,
16,Lower Keys,463.162500,split,468.162500,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS-to-Lower Keys Medical Center,,,,
17,Mariners,463.087500,split,468.087500,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS-to-Mariner's Hospital,,,,
18,KW PublicWorks 3,155.955000,,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works,,,,
19,KW Services,453.950000,split,458.950000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Services,,,,
20,KW PublicWorks 1,154.785000,,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works,,,,
21,KW PublicWorks 2,155.520000,,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works,,,,
22,Key West Transit,453.950000,split,458.950000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Key West Transit,,,,
24,FR City-1,453.362500,split,458.362500,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire Tactical,,,,
25,KC4SFA,147.165000,split,147.765000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Key Largo [MM104],,,,
