Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Crocker Fire,154.190000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Rural,,,,
1,Crocker Police,158.790000,,0.600000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Dispatch,,,,
2,Dixon Ambulance,155.955000,,0.600000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Dixon Ambulance District Tac,,,,
3,Dixon Rural Fire,154.250000,split,159.412500,DTCS,88.5,88.5,431,NN,431,Tone->Tone,NFM,5.00,,50W,Fire: Rural FPD,,,,
4,Dixon Services,153.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Services,,,,
5,Dixon Police,154.875000,,0.600000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police (Voice Inversion Capable),,,,
6,Richland Utility,155.865000,,0.600000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Utilities,,,,
7,Hazelgreen Fire,154.310000,,0.600000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Hazelgreen Fire,,,,
8,Richland 911,153.777500,split,151.460000,DTCS,88.5,88.5,054,NN,054,Tone->Tone,NFM,5.00,,50W,Police,,,,
9,StRbrt PublicWrk,155.925000,,0.600000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works,,,,
10,StRobert Police2,154.740000,,0.600000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police,,,,
11,St Robert Fire A,154.445000,split,153.965000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch,,,,
12,St Robert Fire B,154.295000,,0.600000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire,,,,
13,St Robert Police,155.895000,split,153.860000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Dispatch,,,,
14,StRbrt Utilities,467.850000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Utilities,,,,
15,Waynesv Police,154.085000,split,158.925000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Dispatch,,,,
16,Wnvl Police Priv,154.950000,,0.600000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Private (Voice Inversion capable),,,,
17,Waynesv Utility,154.085000,split,158.925000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Utilities,,,,
18,Waynsvl Fire R,154.370000,split,159.075000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire,,,,
19,Waynesville 911,158.925000,split,151.460000,DTCS,88.5,88.5,612,NN,612,Tone->Tone,NFM,5.00,,50W,Police,,,,
20,Pulaski Sheriff,154.815000,split,156.030000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Dispatch,,,,
21,Pulaski Co Fire,154.160000,split,159.420000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch - All,,,,
22,Pulaski Co EMS A,155.265000,,0.600000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Pulaski/Dixon Ambulance EMS: Dispatch,,,,
23,Pulaski Co EMS B,155.295000,,0.600000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS,,,,
24,Pulaski Highway,453.725000,split,458.725000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Highway [Expired 10/14],,,,
25,Pulaski911 North,151.460000,split,153.905000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,911: Dispatch - North,,,,
26,Pulaski911 South,151.287500,split,153.905000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,911: Dispatch - South,,,,
27,Pulaski Health,155.662500,,0.600000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,County Health Department,,,,
28,Lifeline StRbrt,453.487500,split,458.487500,DTCS,88.5,88.5,134,NN,134,Tone->Tone,NFM,5.00,,50W,Mercy Lifeline: Helo EMS: Dispatch,,,,
29,Tri-Co Fire,153.755000,split,159.150000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch / Operations,,,,
30,Wynsv SchBus,151.925000,split,159.585000,DTCS,88.5,88.5,025,NN,025,Tone->Tone,NFM,5.00,,50W,Buses,,,,
31,Wynsv East ES,462.425000,split,467.425000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,East Elementary-Waynesville,,,,
32,Freedom Elem,462.662500,,0.600000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Freedom Elementary,,,,
33,Dixon School B,155.280000,,0.600000,DTCS,88.5,88.5,431,NN,431,Tone->Tone,NFM,5.00,,50W,Buses,,,,
34,Dixon Schools A,151.670000,split,159.495000,DTCS,88.5,88.5,431,NN,431,Tone->Tone,NFM,5.00,,50W,Buses / Ops (was 97.4),,,,
35,CrkrSchOps 1,159.735000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Buses / Operations,,,,
36,SR Frdm Elem,464.500000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Freedom Elementary: Office/Custodians (St. Robert),,,,
