Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Laclede OEM,154.055000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management,,,,
1,LebanonRural FG,154.205000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fireground: Lebanon Rural [Ch 3] [Expired 10/14],,,,
2,Laclede Sheriff2,155.145000,,0.600000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff [Ch 2] [No License 155.415?],,,,
3,Sleeper FG,154.295000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fireground: Sleeper [Ch 2],,,,
4,BnntSprngs FG,151.085000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fireground: Bennett Spring [Ch 2] [Expired /12],,,,
5,Hazelgreen FG,154.310000,,0.600000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fireground: Hazelgreen [Ch 2],,,,
6,LacledeFire East,154.355000,split,150.805000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch - East Repeater <b>[Expired 5/23],,,,
7,LacledeFire West,154.355000,split,158.880000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch - West Repeater <b>[Expired 5/23],,,,
8,Lacedel Fire LC,154.160000,,0.600000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,"Fire (Lebanon, Competition) <b>[Expired 5/23]",,,,
9,Laclede OEM R,154.792500,split,158.752500,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Emergency Management: Countywide,,,,
10,Laclede Roads,151.280000,split,154.115000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Roads and Bridges [Expired 5/23],,,,
11,Laclede Water,153.485000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Laclede County Water Company,,,,
12,BnntSprngs Fire,154.355000,split,153.950000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch - Bennett Springs <b>[Expired 5/23],,,,
13,Lacl Sheriff MX,151.205000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Mobile Extenders (to MOSWIN) Expired 3/23],,,,
14,Lebanon Fire,154.145000,,0.600000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch,,,,
15,Lebanon PubWrks,154.055000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works,,,,
16,Lebanon Electrc,155.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Electric Department,,,,
17,Lebanon Police,154.710000,split,156.090000,TSQL,167.9,167.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Dispatch,,,,
18,Lebanon Road,156.180000,split,151.100000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Special Road District,,,,
19,LebanonRuralFire,154.355000,split,153.950000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch,,,,
20,Conway Fire,154.265000,split,151.010000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire,,,,
21,Conway Utility,154.295000,,0.600000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Utilities [No license],,,,
22,MercyEMS Ops,155.160000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,"EMS: Operations [Ch 1] [No License, Old?]",,,,
23,Mercy Leb PG,154.515000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS: Lebanon Hospital Paging [Ch 2] [Expired 5/23],,,,
24,HEAR CSQ,155.340000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Patient Reports [Ch 3],,,,
25,Mercy EMS,159.105000,split,153.980000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS: Dispatch (w/ Air Medical),,,,
26,NeboFal Fire,154.355000,split,153.950000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch <b>[Expired 6/24],,,,
27,NeboFal Fire 2,155.055000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Local [Expired 6/24],,,,
28,BennSprings Fire,151.085000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Fire: Local [Expired 3/12],,,,
29,TriCo Fire,153.755000,split,159.150000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch/Operations,,,,
30,Lebanon School B,151.805000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Operations (possibly D131),,,,
31,Lebanon School C,157.575000,,0.600000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,50W,Operations,,,,
32,Lebanon School A,152.922500,split,158.392500,DTCS,88.5,88.5,071,NN,071,Tone->Tone,NFM,5.00,,50W,Operations,,,,
33,Plato School,463.675000,split,468.675000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,FM,5.00,,50W,Operations,,,,
34,Stlnd School,152.457500,split,157.712500,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Operations,,,,
35,K0LH 146.7,146.700000,split,146.100000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repeater (Eldridge),,,,
36,FWJLA CTAF,122.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,CTAF/Unicom,,,,
