Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,AMR EMS KY,452.225000,split,457.225000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Kentucky Operations,,,,
1,AMR EMS Disp,451.300000,split,456.300000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Dispatch,,,,
2,AMR EMS IN,452.300000,split,457.300000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Indiana Operations,,,,
3,EMS2Jewish,155.340000,,0.600000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS-to-Jewish Hospital,,,,
4,JeffCoSKYWRN,146.700000,split,146.100000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,Jefferson County Primary Repeater,,,,
5,JeffCoSKYWRN,146.625000,split,146.025000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,Jefferson County SKYWARN (Linked to NWS),,,,
6,JeffCoSKYWRN,443.350000,split,448.350000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Jefferson County SKYWARN (Linked to NWS),,,,
7,JeffCoRACES2,146.940000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Jefferson County Secondary RACES,,,,
8,JeffCoRACES1,147.030000,,0.600000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,Jefferson County Primary RACES,,,,
9,K4KTR,443.000000,split,448.000000,,88.5,88.5,023,NN,023,Tone->Tone,P25,5.00,,50W,K4KTR Repeater,,,,
10,StMryElzHsp A,462.962500,,0.600000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,St. Mary and Elizabeth Hospital,,,,
11,StMryElzHsp Mnt,464.412500,split,469.412500,DTCS,88.5,88.5,071,NN,071,Tone->Tone,NFM,5.00,,50W,St. Mary and Elizabeth Hospital Maintenance [Expired 4/12],,,,
12,Jewish Hospital,461.200000,split,466.200000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Jewish Hospital,,,,
13,Norton Scrty A,464.025000,split,469.025000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Norton Hospital Security,,,,
14,CentralStateHosp,453.025000,split,458.025000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Central State Hospital,,,,
15,Humana Maint,463.700000,,0.600000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,NFM,5.00,,50W,Humana Hospital Audubon,,,,
16,UL Hosp Sec,453.075000,split,458.075000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,University of Louisville Hospital Security,,,,
17,Norton Scrty D,464.025000,split,469.025000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Norton Hospital Security,,,,
18,NortonHosp Sec,461.725000,split,466.725000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Norton Hospital Security,,,,
19,Jewish Hosp Eng.,464.900000,split,469.400000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Jewish Hospital Engineering,,,,
