Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Marion Shf T/A3,156.000000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Talk-Around [Ch 3],,,,
1,Marion Shf Tac4,156.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Tactical [Ch 4],,,,
2,Marion Fire M/A,154.295000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Mutual Aid - County [Ch 3] <b>[Expired 8/23],,,,
3,Marion Shf fTac6,154.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Tactical / Jail [Ch 6],,,,
4,Marion Highway,159.180000,,0.600000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Highway Department <B>[Expired 2/23] </B>,,,,
5,Marion Shf Tac5,154.830000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Tactical [Ch 5],,,,
6,Marion Shf MX,159.030000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff: Mobile Extenders,,,,
7,Marion Co EMS,151.190000,,0.600000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,NFM,5.00,,50W,"EMS: Dispatch (United One, Lifestar)",,,,
8,Marion Fire/EMS,151.220000,,0.600000,DTCS,88.5,88.5,165,NN,165,Tone->Tone,NFM,5.00,,50W,Fire/EMS/FR: Countywide Dispatch (except Centralia),,,,
9,MarionCounty EMA,151.362500,split,154.717500,DTCS,88.5,88.5,125,NN,125,Tone->Tone,NFM,5.00,,50W,Emergency Management (Salem),,,,
10,Marion Sheriff,151.392500,split,155.992500,DTCS,88.5,88.5,606,NN,606,Tone->Tone,NFM,5.00,,50W,Sheriff/Rural Law: Dispatch<b> [Expired 3/24],,,,
11,SLO UNICOM,122.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,CTAF/UNICOM,,,,
12,SLO AWOS,118.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Weather AWOS-3,,,,
13,KC Appr/Dep,127.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Kansas City Air Traffic Control Center,,,,
14,KENL AWOS U,121.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Centralia Municipal Airport - Weather,,,,
16,KENL UNICOM,122.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,UNICOM,,,,
17,Centralia Police,154.800000,split,156.090000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,50W,Police: Dispatch (w/ Wamac) [Ch 1]  <B>[Expired 8/21]</b>,,,,
18,Centralia EMA B,155.880000,split,153.785000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMA: Operations [Ch 1],,,,
19,Cent PubWrks,453.375000,split,458.375000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works Department [Ch 1] [Expired 3/24],,,,
20,Cent Police RF-C,453.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Extenders/RF Link <B>[Expired 8/21]</b>,,,,
23,Cent Police RF-A,453.687500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police: Remote Link <B>[Expired 8/21]</b>,,,,
24,Cent Police RF-B,460.612500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police/Sheriff <B>[Expired 8/21]</b>,,,,
25,Centralia EMA A,155.880000,split,153.785000,DTCS,88.5,88.5,412,NN,412,Tone->Tone,NFM,5.00,,50W,EMA: Operations - New,,,,
26,Centralia Fire,155.070000,split,158.985000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,NFM,5.00,,50W,Fire: Dispatch,,,,
27,Centralia PD MX,469.262500,,0.600000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,50W,Police: Mobile Extenders (to 154.8) <b>[No License],,,,
