Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Chst PubWrks,854.512500,split,809.512500,DTCS,88.5,88.5,311,NN,311,Tone->Tone,FM,5.00,,50W,Public Works / Snow Plows [Expired 2/22],,,,
1,CrCr GolfCrs,464.550000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Creve Coeur Golf Course (Municipal),,,,
3,Eureka Local,158.925000,split,153.995000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Events / Local Interop,,,,
4,BallwinGolfCours,462.075000,split,467.075000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Ballwin Golf Course (Voice/Data) (was 463.7875 WQVL918) [Expired 3/25],,,,
5,Flor Police RF,465.562500,,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Old Remote Link (Tone Carrier - Active 9/21; Expired 2015),,,,
6,Brid ParkRec/Bus,453.850000,split,458.850000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Parks / Recreation Center/Buses?,,,,
7,Fntn PubWrks,158.955000,,0.600000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Public Works,,,,
8,Krkwd Fire T/Out,158.760000,split,159.960000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Tone-Outs,,,,
10,CC911 UCity Fire,154.370000,,0.600000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire: Paging / Station Alerting,,,,
11,SSD Bus A,461.175000,split,466.175000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Buses (heard Johnson Wabash Ferguson),,,,
12,SSD Neuw 400,451.637500,split,456.637500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Neuwoehner School: Admin (Clayton Rd),,,,
13,SSD LearningCntr,451.525000,split,456.525000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Learning Center (need CC),,,,
14,HSD Sec/Maint,463.625000,split,468.625000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,50W,Security / Maintenance [Ch 1],,,,
15,HSD Buses 2-1,464.750000,split,469.750000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Buses,,,,
16,HSD EHS Opa A,457.712500,,0.600000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,NFM,5.00,,50W,East High School: Ops,,,,
17,HSD Armstg Ops B,452.487500,,0.600000,DTCS,88.5,88.5,156,NN,156,Tone->Tone,NFM,5.00,,50W,Armstrong Elementary: Admin/Bus Loading Ops,,,,
18,HSD Armstg Ops A,464.037500,split,469.037500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Armstrong Elementary,,,,
19,HSD Buses 3-1,461.225000,split,466.225000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Buses,,,,
20,HSD Buses 5-1,452.812500,split,457.812500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Buses,,,,
21,HSD EHS Ops 133,462.887500,split,467.887500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Hazelwood East High School [Low Power*],,,,
22,FFSDR2 Bus3,462.175000,split,467.175000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Buses,,,,
23,FFSDR2 Bus4,464.025000,split,469.025000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Buses,,,,
24,FFSDR2 Bus2,461.050000,split,466.050000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Buses [Expired 5/23],,,,
25,FFSDR2 Bus2,461.750000,split,466.750000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Buses,,,,
26,McCluer HS,462.712500,,0.600000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,McCluer High School: Ops (FRS7),,,,
27,Mehl Sch OpsB100,461.175000,split,466.175000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Security / Ops (SL 1/2),,,,
28,Mehl Sch BusA999,451.450000,split,456.450000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Buses,,,,
29,Mehl Sch Admin,452.662500,split,457.662500,TSQL,162.2,162.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Admin / Operations,,,,
30,Bierbaum Elemen,452.587500,,0.600000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Bierbaum Elementary School,,,,
31,Beasley Elemen,457.837500,,0.600000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Beasley Elementary School,,,,
32,Mehl SchBus Data,451.450000,split,456.450000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Buses: LRRP Data,,,,
33,Oakville HS OPs,456.362500,,0.600000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Oakville High School: Ops,,,,
34,Mehl SchBusA1000,451.450000,split,456.450000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Operations,,,,
35,CBC Maint 1,462.275000,split,467.275000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Maintenance/Supervision,,,,
