Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
1,SalemPolice Dispatch CH 1,155.190000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
2,Salem PD Tactical 2,155.790000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
3,Salem Fire Ch 2,154.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
4,Salem Streets Public Works,155.857500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,2.50,,10W,,,,,
5,,151.392500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,2.50,,10W,,,,,
6,Sheriff:  Ch 3,156.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
7,Salem EMA,151.362500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,12.50,,10W,,,,,
8,Fire Operations,151.167500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,2.50,,10W,,,,,
9,Marion County Hwy Dept,159.180000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
10,Sheriff: Tactical 5,154.830000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
11,Salem EMA Ops 2,151.115000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
12,Sheriff: Tactical 4,156.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
13,Marion Fire/EMS,151.220000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
14,EMS: Dispatch,151.190000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
15,SalemTwp Hosp,453.787500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,12.50,,10W,,,,,
16,,153.340000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
17,Sheriff: Tactical / Jail [Ch 6],154.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
18,EMA: Ops / Weather Net [Ch 1],154.717500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,2.50,,10W,,,,,
19,EMA: Ops / Weather Net [Ch 1],155.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
20,Fire: Mutual Aid - County [Ch 3,154.295000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
21,Fire: Dispatch - Primary,154.430000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
22,,155.520000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
23,SalemTWP Hosp Patient Reports,155.340000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
24,Salem Street/PW,155.865000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
25,,151.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
26,,146.580000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
27,,442.218750,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,6.25,,10W,,,,,
28,,442.075000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
29,,155.370000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
30,,145.130000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
31,,155.055000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
32,,155.520000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
33,,153.845000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
34,,154.370000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
35,,155.160000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
36,,155.220000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
37,,147.227000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
38,,153.560000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
39,,122.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
40,,118.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
41,,127.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
42,,151.190000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,10W,,,,,
